varible_name,method,"AffinityPropagation(damping=0.999, random_state=0)","AgglomerativeClustering(metric='euclidean', n_clusters=13)","KMeans(n_clusters=13, n_init='auto', random_state=0)",MeanShift(bandwidth=2.3),"SpectralClustering(assign_labels='discretize', n_clusters=13, random_state=0)"
array,numpy.load,CLUSTER_29,CLUSTER_8,CLUSTER_8,CLUSTER_0,CLUSTER_0
"X_TF_train,X_TF_test,y_TF_train,y_TF_test",sklearn.model_selection.train_test_split,CLUSTER_29,CLUSTER_8,CLUSTER_8,CLUSTER_0,CLUSTER_0
clf,sklearn.svm.LinearSVC,CLUSTER_29,CLUSTER_8,CLUSTER_8,CLUSTER_0,CLUSTER_0
clf,sklearn.svm.LinearSVC,CLUSTER_29,CLUSTER_8,CLUSTER_8,CLUSTER_0,CLUSTER_0
"fpr[i],tpr[i],_",sklearn.metrics.roc_curve,CLUSTER_29,CLUSTER_8,CLUSTER_8,CLUSTER_0,CLUSTER_0
"fpr[""micro""],tpr[""micro""],_",sklearn.metrics.roc_curve,CLUSTER_29,CLUSTER_8,CLUSTER_8,CLUSTER_0,CLUSTER_0
roc_auc[i],sklearn.metrics.auc,CLUSTER_29,CLUSTER_8,CLUSTER_8,CLUSTER_0,CLUSTER_0
"roc_auc[""micro""]",sklearn.metrics.auc,CLUSTER_29,CLUSTER_8,CLUSTER_8,CLUSTER_0,CLUSTER_0
"roc_auc[""macro""]",sklearn.metrics.auc,CLUSTER_29,CLUSTER_8,CLUSTER_8,CLUSTER_0,CLUSTER_0
gbrt,sklearn.ensemble.GradientBoostingClassifier,CLUSTER_29,CLUSTER_8,CLUSTER_8,CLUSTER_0,CLUSTER_0
